Text,Target,Label
there are actually a few important things we can glean from this mess1	when they start getting desperate for an answer to the question whatsit all about mr natural pinkboys will buy darn near anything whichmeans2	theres still plenty of  to be made in the false jesus businessby enterprising subgenii  just remember that3	once youve separated the pinks from their green dont blow it allon automatic weapons from mexico  put it in a swiss bank account  smile alot  have your flunkies hand out flowers in airports  the con will justshrug you off as long as4	you never never never start to believe your own bulldada  ifdavid koresh handt started swallowing his own apocalypso now crap hedbe working crossword puzzles in the bahamas today instead of contributing tothe mulch layer in waco  this is because5	when you start shooting at cops theyre likely to shoot back  and most of em are better shots than you are	in short	 pt barnum was right 		and	 stupidity is selfcorrectingthus endeth the lesson,19,misc
a question for you  can you give me the name of an organization or aphilosophy or a political movement etc which has never had anythingevil done in its name  youre missing a central teaching of christianity man is inherently sinful  we are saved through faith by grace  knowingthat believing that does not make us without sin  furthermore not allwho consider themselves christians are even those who manage to headtheir own churches  not everyone who says to me lord lord willenter the kingdom of heaven but only he who does the will of my father whois in heaven  matt 721again what historical documents do you trust  do you think hannibalcrossed the alps  how do you know  how do you know for sure  whathistorical documents have stood the scrutiny and the attempts to discredit it as well as the bible haswell its really a shame you feel this way  no one can browbeat youinto believing and those who try will probably only succeed in drivingyou further away  you need to ask yourself some difficult questions1 is there an afterlife and if so does man require salvation to attainit  if the answer is yes the next question is 2 how does man attain thissalvation  can he do it on his own as the eastern religions and certainmodern offshoots like the new age movement teach or does he require godshelp  3 if the latter in what form does  indeed in what form can suchhelp come  needless to say this discussion could take a lifetime and forsome people it did comprise their lifes writings so i am hardly in aposition to offer the answers here  merely pointers to what to ask  fewof us manage to have an unshaken faith our entire lives certainly not methe spritual life is a difficult journey if youve never read a pilgrimsprogress i highly recommend this greatest allegory of the english languagenow i see by your close that one possible source of trouble for you may be aconflict between your politcal beliefs and your religious upbringing  youwrote that i in my own faith accept and live my life by many if not mostof the teachings of christ  well christ referred to god as my fathernot my mother and while the maleness of god is not the same as themaleness of those of us humans who possess a y chromosome it does nothonor god to refer to him as female purely to be trendy nondiscriminatoryor politically correct  this in no way disparages women nor is it my intentto do so by my use of the male pronoun to refer to both men and women  english just does not have a decent neuter set of pronouns  after all godchose a woman as his only human partner in bringing christ into the humanpopulationwell im not about to launch into a detailed discussion ofthe role of women in christianity at 1am with only 6 hours of sleep in thelast 63 and for that reason i also apologize for any shortcomings in thisarticle  i just happened across yours and felt moved to reply  i hope imay have given you and anyone else who finds himself in a similar frame ofmind something to contemplate,15,christian
in response to a lot of email ive gotten i need to clarify my positioni am not in favor of paganismi am not in favor of the easter bunny or other nonchristian aspects ofeaster as presently celebrated  incidentally easter eggs are notnonchristian they are a way of ending the lenten fastmy point was to distinguish between  1 intentionally worshipping a pagan deity and  2 doing something which may once have had pagan associations butnowadays is not understood or intended as suchmany people who are doing 2 are being accused of 1it would be illogical to claim that one is really worshipping apagan deity without knowing it  worship is a matter of intentionone cannot worship without knowing that one is doing so,15,christian
			  huh it might be interesting he is relating the story as i have heardit btwhuh care to back that up,19,misc
no do i have to    im just commenting that it makes verylittle sense to consider everything we inherit to be the defaultseen any steam trains recently,0,atheism
stuff deleted hmmmmmmmmmmmm         i can put the same question to followers of any religion how do youmoslems resolve differences of opinion  dont tell me that thereis one interpretation of the quran read the socculture newsgroupsyou will zillions of different interpretations narennarentekig1pentekcom ,0,atheism
bobbya few posts ago you said that lucifer had no free will  from the aboveit seems the jw believes the contraryare you talking about the same luciferif so can you suggest an experiment to determine which of you is wrongor do you claim that you are both right,0,atheism
so why do i read in the papers that the qumram texts had differentversions of some ot texts   did i misunderstand,0,atheism
we have no way to know that the cultists burned the house it could have beenthe batf and fbi  we only have the governments word for it after all andpeople who started it by a noknock search with concussion grenades are hardlydisinterested observerson the first day after christmas my truelove served to me  leftover turkeyon the second day after christmas my truelove served to me  turkey casserole    that she made from leftover turkeydays 34 deleted   flaming turkey wings     pizza hut commercial and mtluagic bait,19,misc
deuteronmy 2013and when the lord thy god hath delivered it into thine hands thou shalt smiteevery male thereof with the edge of the swordjoshua 621and they utterly destroyed all that was in the city bith man and womenyoung and old and ox and sheep and ass with the edge of the sword,19,misc
