Text,Label
"one of the most boring,pointless movies i have ever seen.  ",neg
"this movie suffered because of the writing, it needed more suspense.  ",neg
i will never forget it now.  ,pos
the good cinematography also makes her and monica bellucci look very beautiful.  ,pos
"both actors truly understand and become their particular character, delivering a convincing, sincere performance.  ",pos
it is a really good show to watch.  ,pos
this movie is so awesome!  ,pos
but it wasn't until i watched this film that i realised how great he actually was.  ,pos
"personally, i think it shows that people should learn to find a compromise them self without involving other people into issue.  ",pos
duris has a wholesome appearance and gives a fine performance.  ,pos
"as a courtroom drama, it's compelling, as an indictment on the american justice system, it's frightening.  ",pos
constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,pos
both do good jobs and are quite amusing.  ,pos
hated it.  ,neg
it's one of the movies i need to see whenever it comes on tv...never mind the fact that i already have it memorized!  ,pos
the film looks cheap and bland.  ,neg
"it's an empty, hollow shell of a movie.  ",neg
"director paul matthews, who also wrote/directed the weak 1995 monster movie ""grim"", clearly doesn't know how to pace his films.  ",neg
"hackneyed writing, certainly, but made even worse by the bad directing.  ",neg
it failed to convey the broad sweep of landscapes that were a great part of the original.  ,neg
"this was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",neg
"but this movie is not funny, considering the ridiculousness of it.  ",neg
"for people who are first timers in film making, i think they did an excellent job!!  ",pos
fans of the genre will be in heaven.  ,pos
"the only thing really worth watching was the scenery and the house, because it is beautiful.  ",pos
the film's sole bright spot was jonah hill (who will look almost unrecognizable to fans of the recent superbad due to the amount of weight he lost in the interim).  ,pos
his acting alongside olivia de havilland was brilliant and the ending was fantastic!  ,pos
the poor actors.  ,neg
"utterly without merit on any level, this is akin to torture.  ",neg
"there is, however, some pretty good acting (at least, for this type of film).  ",pos
"both films are terrible, but to the credit of the 1986 version, it was watchable.  ",neg
"i'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",neg
"however paul schrader has indeed made a film ""about"" mishima that is both superb & complex.  ",pos
10/10  ,pos
but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronaut's biggest fear is that he has crashed in the ussr.  ,pos
"i felt asleep the first time i watched it, so i can recommend it for insomniacs.  ",neg
"unfortunately, this is a bad movie that is just plain bad.  ",neg
mishima is extremely uninteresting.  ,neg
this is truly an art movie--it actually has a lot of art in it.  ,pos
it was clear that she had the range and ability to pull off this part.  ,pos
"i cannot believe that the actors agreed to do this ""film"".  ",neg
great movie!  ,pos
my only problem is i thought the actor playing the villain was a low rent michael ironside.  ,neg
it is a very well acted and done tv movie.  ,pos
"it had some average acting from the main person, and it was a low budget as you clearly can see.  ",neg
hitchcock is a great director.  ,pos
a good film by a great director!  ,pos
the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,neg
i couldn't take them seriously.  ,neg
i hate writing bad reviews about films - especially those in which i really like the star - but this film is so bad i don't believe for one second that anyone could have been proud of it.  ,neg
"then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",neg
") some great music, and terrific scenery.  ",pos
an excellent performance from ms.  ,pos
this is the number one best th game in the series.  ,pos
"he is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",neg
i was bored throughout the whole damn thing.  ,neg
"it's quite simply the highest, most superlative form of cinema imaginable.  ",pos
"okay, i like to consider myself a fair critic, so i'll give credit where credit's due--the creature effects were actually pretty cool.  ",pos
this movie has a cutting edge to it.  ,pos
"the film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",pos
"if you do watch it, however, there are small consolations: the actresses playing anne's sisters each do a wonderful job with their roles.  ",pos
"it was that year, however, that reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyce's acclaimed novella ""the dead.  ",pos
"it has a very good plot, it holds your complete attention, the acting is superb, tom wilkinson was fantastic and emily watson was also very good.  ",pos
it was so cool.  ,pos
it just blew.  ,neg
it deserves strong love.  ,pos
there was nothing believable about it at all.  ,neg
and those baby owls were adorable.  ,pos
see it.  ,pos
almost all of the songs in cover girl are old-fashioned and not very tuneful.  ,neg
"the use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a corn flakes box and a directorial style that bordered on stupidity.  ",neg
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",neg
